t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
889691035,0.083000,0.921000,0.231000,-4.382000,6.290000,3.069000,33.24
889695925,0.090000,0.941000,0.229000,-4.153000,7.252000,2.397000,33.19
889708371,0.080000,0.943000,0.235000,-4.550000,6.595000,2.595000,33.14
889724375,0.094000,0.930000,0.257000,-4.779000,4.718000,2.824000,33.28
889730816,0.110000,0.909000,0.266000,-4.137000,3.450000,3.466000,33.24
889736342,0.109000,0.943000,0.290000,-3.863000,5.588000,3.359000,33.28
889749152,0.065000,0.958000,0.252000,-3.313000,6.672000,4.458000,33.24
889761836,0.058000,0.956000,0.247000,-4.458000,5.359000,4.397000,33.28
889768492,0.068000,0.936000,0.223000,-4.198000,4.412000,4.702000,33.24
889774990,0.045000,0.943000,0.225000,-4.122000,4.336000,4.916000,33.19
889791850,0.031000,0.977000,0.215000,-4.992000,3.038000,4.412000,33.24
889800871,0.078000,0.937000,0.211000,-5.267000,4.275000,3.313000,33.19
889808238,0.103000,0.929000,0.244000,-4.809000,7.802000,3.176000,33.24
889818048,0.121000,0.962000,0.230000,-4.351000,14.977000,0.702000,33.19
889830106,0.125000,0.951000,0.222000,-3.878000,23.176000,0.916000,33.24
889838573,0.091000,0.936000,0.247000,-5.267000,24.901000,1.237000,33.19
889848417,0.072000,0.933000,0.234000,-4.718000,29.603000,4.122000,33.24
889857602,-0.063000,0.957000,0.216000,-3.725000,29.832000,5.450000,33.19
889868529,-0.099000,0.977000,0.210000,-5.649000,15.725000,5.435000,33.24
889876086,-0.010000,0.938000,0.220000,-6.244000,2.031000,6.641000,33.19
889886049,0.085000,0.916000,0.260000,-4.840000,2.092000,6.992000,33.33
889899753,0.116000,0.934000,0.247000,-3.267000,8.687000,7.130000,33.24
889909716,0.083000,0.956000,0.246000,-3.863000,14.000000,8.107000,33.24
889920044,0.077000,0.943000,0.233000,-4.122000,15.573000,7.191000,33.24
889926629,0.078000,0.942000,0.208000,-3.817000,18.107000,7.374000,33.19
889938308,0.043000,0.954000,0.206000,-4.198000,16.519000,5.969000,33.24
889953561,0.031000,0.960000,0.259000,-5.511000,11.344000,6.000000,33.28
889958922,0.044000,0.940000,0.280000,-5.664000,7.191000,6.595000,33.24
889968736,0.070000,0.930000,0.266000,-5.557000,6.458000,6.840000,33.19
889978706,0.083000,0.942000,0.251000,-4.397000,9.450000,7.374000,33.24
889988281,0.034000,0.960000,0.198000,-4.122000,10.076000,7.221000,33.14
889997288,0.037000,0.971000,0.229000,-4.214000,7.878000,6.427000,33.14
890004718,0.071000,0.974000,0.234000,-4.641000,6.168000,5.573000,33.28
890019001,0.080000,0.967000,0.251000,-4.901000,6.824000,3.863000,33.14
890030055,0.067000,0.956000,0.260000,-5.420000,6.443000,3.832000,33.19
890037280,0.069000,0.933000,0.233000,-6.000000,4.046000,4.168000,33.24
890052304,0.082000,0.952000,0.247000,-6.382000,3.603000,4.489000,33.19
890057982,0.067000,0.970000,0.271000,-7.313000,4.565000,5.481000,33.05
890068192,0.057000,0.970000,0.273000,-8.870000,4.656000,5.344000,33.28
890080997,0.088000,0.967000,0.218000,-8.565000,7.969000,5.786000,33.24
890086612,0.090000,0.980000,0.190000,-8.305000,10.962000,5.527000,33.19
890097167,0.040000,0.994000,0.181000,-9.481000,10.137000,5.099000,33.14
890102037,0.035000,0.972000,0.188000,-11.420000,6.168000,4.107000,33.28
890123819,0.106000,0.929000,0.235000,-13.115000,3.817000,4.031000,33.24
890134597,0.136000,0.900000,0.252000,-14.519000,5.618000,4.122000,33.19
890144365,0.152000,0.886000,0.251000,-14.382000,8.183000,3.542000,33.24
890149911,0.123000,0.919000,0.209000,-13.969000,10.229000,2.305000,33.28
890161679,0.082000,0.942000,0.186000,-14.427000,9.344000,1.298000,33.24
890174342,0.088000,0.925000,0.207000,-15.115000,5.053000,0.183000,33.19
890176603,0.131000,0.895000,0.234000,-14.427000,4.992000,-0.855000,33.19
890187928,0.112000,0.891000,0.251000,-12.061000,5.603000,-0.504000,33.14
890198431,0.114000,0.886000,0.280000,-11.359000,3.176000,0.076000,33.28
890207039,0.127000,0.879000,0.298000,-10.290000,0.977000,0.366000,33.14
890214118,0.159000,0.850000,0.286000,-8.824000,0.198000,0.809000,33.24
890226689,0.132000,0.858000,0.240000,-4.901000,0.397000,0.885000,33.24
890242192,0.105000,0.909000,0.184000,-3.176000,-2.427000,-0.290000,33.19
890247239,0.090000,0.906000,0.182000,-1.511000,-6.550000,-1.893000,33.14
890258582,0.113000,0.877000,0.187000,0.076000,-10.168000,-2.885000,33.28
890274432,0.138000,0.875000,0.219000,1.527000,-10.382000,-3.420000,33.33
890279700,0.140000,0.889000,0.238000,2.275000,-9.115000,-3.069000,33.28
890286264,0.116000,0.892000,0.256000,3.084000,-10.504000,-1.282000,33.24
890298982,0.117000,0.907000,0.266000,3.511000,-11.496000,0.458000,33.19
890310064,0.149000,0.935000,0.235000,2.427000,-12.427000,2.580000,33.14
890317290,0.150000,0.923000,0.176000,3.206000,-15.130000,4.489000,33.19
890324705,0.184000,0.945000,0.141000,3.008000,-14.977000,5.176000,33.24
890342294,0.143000,0.946000,0.179000,3.908000,-15.466000,5.206000,33.19
890354280,0.115000,0.957000,0.155000,6.962000,-22.977000,7.160000,33.14
890357395,0.149000,1.002000,0.134000,7.756000,-30.779000,7.786000,33.28
890368828,0.211000,1.038000,0.181000,7.084000,-39.557000,8.366000,33.33
890378569,0.305000,1.084000,0.188000,3.725000,-40.214000,9.405000,33.19
890385127,0.351000,1.096000,0.310000,4.183000,-35.756000,10.015000,33.24
890398697,0.315000,1.127000,0.372000,-0.672000,-33.298000,11.160000,33.19
890410297,0.264000,1.110000,0.345000,-1.313000,-36.183000,14.275000,33.24
890416228,0.281000,1.168000,0.352000,-3.252000,-42.931000,16.595000,33.24
890427678,0.318000,1.219000,0.352000,-5.939000,-49.374000,19.099000,33.19
890440713,0.383000,1.220000,0.367000,-10.489000,-56.779000,22.595000,33.24
890456665,0.382000,1.205000,0.294000,-13.099000,-61.282000,23.466000,33.14
890459231,0.391000,1.253000,0.317000,-17.282000,-65.924000,27.374000,33.24
890469305,0.484000,1.205000,0.367000,-23.069000,-66.183000,32.840000,33.19
890481460,0.524000,1.211000,0.267000,-22.870000,-49.557000,31.908000,33.24
890486909,0.585000,1.294000,0.250000,-22.901000,-28.534000,35.618000,33.28
890503204,0.498000,1.340000,0.367000,-29.832000,-15.832000,40.626000,33.24
890511142,0.490000,1.258000,0.334000,-35.252000,-13.160000,46.382000,33.19
890518048,0.560000,1.245000,0.307000,-37.053000,-3.313000,51.786000,33.24
890524237,0.482000,1.305000,0.287000,-40.260000,3.924000,58.824000,33.28
890536191,0.529000,1.220000,0.286000,-42.244000,8.046000,62.748000,33.24
890550953,0.560000,1.251000,0.304000,-41.542000,25.053000,65.878000,33.19
890561017,0.407000,1.234000,0.218000,-41.389000,25.542000,68.153000,33.33
890567892,0.491000,1.192000,0.406000,-43.038000,14.809000,67.954000,33.19
890583671,0.649000,1.192000,0.640000,-45.878000,10.427000,69.725000,33.14
890588915,0.699000,1.082000,0.697000,-48.015000,17.435000,70.519000,33.28
890597172,0.711000,1.060000,0.532000,-46.336000,28.748000,73.115000,33.24
890610150,0.503000,1.213000,0.545000,-51.069000,27.130000,77.298000,33.19
890620633,0.434000,1.284000,0.371000,-58.397000,15.160000,81.359000,33.24
890625940,0.447000,1.166000,0.398000,-61.099000,8.031000,87.053000,33.19
890638004,0.444000,1.140000,0.457000,-63.145000,5.786000,92.244000,33.19
890648958,0.428000,1.113000,0.439000,-65.221000,-0.336000,99.267000,33.24
890660350,0.483000,1.084000,0.456000,-65.176000,-2.351000,105.420000,33.19
890668686,0.561000,1.068000,0.536000,-68.290000,-1.832000,111.420000,33.24
890678536,0.531000,1.093000,0.652000,-70.489000,-0.229000,118.824000,33.14
890688816,0.504000,1.095000,0.571000,-72.885000,1.649000,124.779000,33.24
890697598,0.474000,1.023000,0.494000,-73.725000,4.580000,126.183000,33.19
890708448,0.495000,1.010000,0.490000,-74.382000,1.099000,129.435000,33.14
890718908,0.430000,0.989000,0.524000,-76.595000,-5.863000,132.931000,33.19
890727466,0.469000,0.932000,0.612000,-76.489000,-12.092000,137.130000,33.24
890734049,0.530000,0.932000,0.635000,-79.313000,-15.649000,139.863000,33.19
890746259,0.693000,0.900000,0.744000,-79.725000,-8.534000,141.573000,33.14
890759765,0.629000,0.963000,0.662000,-83.313000,4.000000,144.397000,33.28
890768329,0.583000,0.963000,0.666000,-88.260000,6.565000,144.458000,33.33
890778803,0.548000,0.921000,0.516000,-89.740000,8.443000,143.649000,33.09
890792789,0.501000,0.872000,0.564000,-90.031000,5.832000,145.145000,33.24
890797913,0.532000,0.819000,0.705000,-93.649000,0.504000,143.771000,33.09
890809087,0.579000,0.740000,0.687000,-92.198000,-1.206000,147.527000,33.24
890819325,0.551000,0.638000,0.655000,-86.947000,-0.916000,149.206000,33.19
890829820,0.549000,0.745000,0.713000,-87.420000,-6.046000,147.908000,33.24
890835836,0.607000,0.686000,0.668000,-89.847000,-8.183000,146.656000,33.19
890848931,0.580000,0.636000,0.653000,-86.626000,-7.038000,142.519000,33.24
890861631,0.541000,0.763000,0.714000,-91.160000,-8.229000,136.137000,33.19
890870522,0.565000,0.726000,0.621000,-91.756000,-9.435000,134.031000,33.33
890877098,0.601000,0.626000,0.677000,-90.748000,-11.450000,130.153000,33.19
890896095,0.671000,0.543000,0.652000,-90.489000,-8.534000,128.107000,33.28
890940942,0.605000,0.481000,0.665000,-89.420000,-2.321000,127.847000,33.24
