t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
2968163152,0.909000,0.459000,-0.497000,-2.489000,3.847000,-2.290000,33.00
2968171529,0.906000,0.467000,-0.491000,-2.718000,3.313000,-2.000000,32.95
2968177125,0.912000,0.462000,-0.515000,-2.611000,2.824000,-1.954000,32.91
2968188475,0.913000,0.457000,-0.521000,-2.244000,2.550000,-1.740000,32.95
2968201431,0.914000,0.445000,-0.512000,-2.366000,2.794000,-2.000000,32.91
2968208213,0.915000,0.456000,-0.504000,-1.802000,3.160000,-2.336000,32.86
2968219082,0.911000,0.468000,-0.504000,-2.412000,2.779000,-2.000000,33.00
2968228137,0.902000,0.459000,-0.506000,-2.443000,2.015000,-1.802000,32.95
2968239630,0.908000,0.453000,-0.504000,-2.519000,1.771000,-1.695000,32.91
2968246291,0.920000,0.452000,-0.503000,-2.412000,2.275000,-1.985000,32.95
2968259195,0.919000,0.444000,-0.530000,-2.153000,3.282000,-2.198000,32.91
2968270373,0.907000,0.449000,-0.515000,-2.183000,3.176000,-2.366000,32.95
2968280221,0.909000,0.452000,-0.494000,-2.305000,3.023000,-2.382000,33.00
2968286317,0.914000,0.463000,-0.504000,-2.290000,2.641000,-1.908000,32.95
2968298482,0.906000,0.452000,-0.497000,-2.382000,2.611000,-1.511000,33.05
2968309997,0.909000,0.454000,-0.493000,-2.137000,2.626000,-1.389000,33.09
2968318553,0.911000,0.457000,-0.497000,-2.198000,2.687000,-1.298000,32.95
2968331615,0.911000,0.458000,-0.493000,-2.046000,2.534000,-1.282000,32.91
2968340291,0.902000,0.462000,-0.507000,-2.275000,2.290000,-1.542000,32.95
2968348850,0.904000,0.457000,-0.514000,-2.672000,2.122000,-1.450000,33.05
2968355388,0.915000,0.453000,-0.509000,-2.443000,1.450000,-2.031000,32.95
2968369517,0.917000,0.461000,-0.502000,-2.550000,1.725000,-2.046000,32.91
2968377695,0.915000,0.459000,-0.506000,-2.824000,2.519000,-2.229000,32.86
2968390729,0.897000,0.452000,-0.501000,-2.351000,3.099000,-2.885000,32.91
2968399483,0.908000,0.457000,-0.498000,-2.260000,3.511000,-2.885000,32.95
2968408471,0.906000,0.461000,-0.494000,-2.122000,3.557000,-3.023000,33.00
2968420615,0.906000,0.459000,-0.498000,-2.305000,2.641000,-2.489000,32.95
2968428017,0.898000,0.454000,-0.503000,-2.534000,2.000000,-1.893000,32.91
2968441875,0.905000,0.453000,-0.506000,-3.023000,1.221000,-1.634000,33.05
2968453329,0.913000,0.460000,-0.508000,-2.794000,0.885000,-1.985000,33.09
2968457671,0.916000,0.458000,-0.497000,-3.008000,1.206000,-1.893000,32.95
2968469618,0.913000,0.452000,-0.487000,-2.916000,2.519000,-2.412000,32.91
2968481970,0.910000,0.459000,-0.487000,-2.656000,3.893000,-2.992000,32.86
2968491520,0.924000,0.462000,-0.507000,-2.916000,3.649000,-2.992000,33.00
2968498960,0.895000,0.466000,-0.506000,-3.130000,3.313000,-3.435000,32.95
2968510606,0.905000,0.465000,-0.496000,-3.756000,2.947000,-2.763000,32.91
2968520958,0.905000,0.465000,-0.494000,-3.435000,2.351000,-2.397000,33.05
2968528169,0.914000,0.471000,-0.492000,-3.145000,3.496000,-2.779000,32.91
2968539932,0.926000,0.473000,-0.492000,-3.160000,4.870000,-2.702000,32.86
2968551224,0.923000,0.479000,-0.512000,-2.855000,4.947000,-2.412000,33.00
2968559294,0.898000,0.471000,-0.505000,-3.191000,4.397000,-2.351000,33.00
2968566299,0.909000,0.487000,-0.488000,-3.145000,3.206000,-2.336000,33.05
2968578541,0.935000,0.514000,-0.483000,-3.740000,3.573000,-2.611000,32.95
2968593311,0.947000,0.514000,-0.482000,-4.183000,4.290000,-2.183000,32.86
2968600311,0.938000,0.517000,-0.467000,-3.695000,5.618000,-1.405000,32.91
2968607248,0.913000,0.531000,-0.455000,-3.740000,7.008000,-0.427000,32.95
2968625842,0.916000,0.556000,-0.454000,-5.328000,6.046000,2.565000,33.00
