duration,max_ay,min_ay,range_ay,mean_ay,std_ay,gyro_var,label,set_id,rep_id,start_time,end_time
6.840364000000001,0.659,-1.079,1.738,-0.6814569343065693,0.5143616609141264,683.0350943178518,0,0,0,39.465368,46.305732
2.6204190000000054,0.734,-1.105,1.839,-0.29090114068441064,0.6097493015651229,2327.6006355504055,0,0,1,46.313548,48.933967
4.642509000000004,0.866,-1.1,1.9660000000000002,-0.39569247311827954,0.6423105118237284,1043.399420007196,0,0,2,48.944038,53.586547
6.113916000000003,0.792,-1.078,1.87,-0.5341454248366014,0.5596422264823075,677.1465504217261,0,0,3,53.591373,59.705289
6.071134000000001,0.906,-1.097,2.003,-0.31439802631578945,0.6509981123113543,526.8875460681024,1,0,4,59.712766,65.7839
9.183795000000003,0.866,-1.087,1.9529999999999998,-0.4785875952121872,0.6299906045369026,485.8552012247239,1,0,5,65.791206,74.975001
18.881507999999997,0.852,-1.206,2.058,-0.6873080995235573,0.5088842863361684,270.60196289638293,1,0,6,74.983356,93.864864
4.840873999999985,0.624,-1.092,1.7160000000000002,-0.5299670103092783,0.5730864915060656,368.08095985977684,0,1,0,292.484455,297.325329
3.8081300000000056,0.631,-1.163,1.794,-0.5295575916230366,0.5648755833753802,671.8246289815521,0,1,1,297.335481,301.143611
2.752941999999962,0.684,-1.12,1.8040000000000003,-0.4104239130434783,0.579912035440252,1186.2612257998844,0,1,2,301.150233,303.903175
5.6023009999999545,0.746,-1.137,1.883,-0.6830926916221034,0.5191223623182564,705.3466002014928,0,1,3,303.91581,309.518111
2.9132189999999696,0.803,-1.12,1.923,-0.39771917808219176,0.5890478007343797,1332.3183429100675,0,1,4,309.524538,312.437757
4.052683999999999,0.761,-1.164,1.9249999999999998,-0.5525837438423645,0.5634448597529689,1167.5611095396637,0,1,5,312.443553,316.496237
4.6044089999999755,0.707,-1.122,1.8290000000000002,-0.529175704989154,0.5325390512864858,908.8204435483647,0,1,6,316.505625,321.110034
5.210356999999988,0.744,-1.159,1.903,-0.5392509578544061,0.5000483235738764,1040.6914470666059,1,1,7,321.118172,326.328529
6.0877720000000295,0.836,-1.2,2.036,-0.5047131147540983,0.5382997135716142,1194.6163713784897,1,1,8,326.335875,332.423647
8.76335899999998,1.191,-1.312,2.503,-0.49721436716077544,0.5465792697993846,892.5492710734766,1,1,9,332.432004,341.195363
4.134031999999991,0.519,-1.169,1.6880000000000002,-0.626828502415459,0.49149598811930373,1242.0449749197414,0,2,0,506.924031,511.058063
2.112938999999983,0.516,-1.192,1.708,-0.42733962264150943,0.5363652899648735,2214.5473151409756,0,2,1,511.061428,513.174367
5.047410999999897,0.583,-1.196,1.779,-0.6671264822134388,0.5096523264772491,706.7536810804262,0,2,2,513.185992,518.233403
2.4705340000000433,0.5,-1.167,1.667,-0.41642338709677423,0.5103657075282249,1837.5236109932202,0,2,3,518.243443,520.713977
3.8333840000000237,0.393,-1.153,1.546,-0.6547506493506494,0.44647829476289613,1253.0371698674312,0,2,4,520.732159,524.565543
5.795058999999924,0.67,-1.229,1.899,-0.6490034423407918,0.4676154362310716,975.368565906802,0,2,5,524.577926,530.372985
3.296934999999962,0.632,-1.166,1.798,-0.43998791540785503,0.45621926524517886,1411.806812732359,0,2,6,530.385662,533.682597
