t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
1089365457,-0.224,-0.916,-0.013,-6.305,3.298,-0.504,32.86
1089375926,-0.221,-0.928,-0.031,-5.969,2.015,-0.351,32.77
1089383559,-0.229,-0.937,-0.062,-5.634,0.183,-0.244,32.72
1089396217,-0.221,-0.991,-0.074,-4.565,0.718,-0.504,32.86
1089406585,-0.23,-0.993,-0.063,-2.519,1.527,-1.42,32.72
1089417837,-0.231,-0.973,-0.056,-1.145,3.008,-1.542,32.86
1089427673,-0.242,-0.963,-0.047,-1.069,3.634,-2.26,32.81
1089433629,-0.246,-0.936,-0.032,-2.0,3.588,-2.947,32.67
1089447389,-0.256,-0.916,-0.038,-3.802,1.908,-3.374,32.67
1089455352,-0.251,-0.918,-0.041,-6.458,-0.366,-3.053,32.86
1089464250,-0.24,-0.916,-0.049,-7.389,-0.504,-3.725,32.72
1089476131,-0.238,-0.93,-0.055,-8.687,-0.977,-4.183,32.77
1089482938,-0.224,-0.963,-0.065,-9.099,-1.176,-4.397,32.81
1089495781,-0.21,-0.958,-0.054,-9.496,-0.122,-4.275,32.77
1089505463,-0.223,-0.944,-0.06,-9.817,1.053,-4.305,32.81
1089516797,-0.219,-0.938,-0.057,-11.603,0.473,-4.855,32.77
1089526743,-0.222,-0.936,-0.051,-13.939,-1.13,-4.55,32.81
1089535083,-0.226,-0.919,-0.059,-15.71,-2.229,-4.718,32.67
1089548371,-0.229,-0.928,-0.054,-17.328,-3.481,-5.328,32.81
1089558486,-0.209,-0.948,-0.085,-19.344,-4.122,-5.389,32.77
1089563416,-0.206,-0.968,-0.082,-19.863,-3.542,-6.183,32.72
1089575115,-0.214,-0.984,-0.08,-19.435,-2.244,-6.794,32.67
1089582000,-0.235,-0.953,-0.079,-19.817,-1.344,-6.87,32.72
1089599588,-0.224,-0.963,-0.074,-19.588,-0.443,-7.481,32.77
1089605931,-0.225,-0.974,-0.086,-21.389,-1.893,-7.832,32.81
1089617197,-0.211,-0.966,-0.091,-24.0,-3.588,-8.26,32.77
1089630600,-0.209,-0.951,-0.13,-24.947,-3.74,-9.893,32.81
1089632449,-0.218,-0.949,-0.071,-25.13,-0.809,-11.969,32.77
1089646495,-0.175,-0.97,-0.046,-24.397,3.634,-14.733,32.72
1089658352,-0.217,-0.932,-0.08,-24.534,7.084,-16.229,32.67
1089662682,-0.184,-0.955,-0.083,-25.695,8.412,-16.351,32.72
1089673738,-0.189,-0.95,-0.103,-24.168,10.275,-17.725,32.67
1089692748,-0.183,-0.984,-0.128,-23.893,10.489,-18.351,32.72
1089702486,-0.17,-1.001,-0.125,-24.565,10.443,-19.344,32.77
1089704534,-0.163,-0.989,-0.123,-22.168,12.901,-21.252,32.72
1089715736,-0.162,-0.985,-0.152,-20.336,14.87,-23.664,32.77
1089725334,-0.156,-1.005,-0.164,-19.985,16.366,-23.527,32.72
1089735377,-0.144,-0.995,-0.156,-18.687,18.84,-24.092,32.77
1089743095,-0.152,-0.951,-0.155,-16.55,22.702,-23.573,32.62
1089757574,-0.164,-0.949,-0.134,-14.626,26.107,-23.527,32.77
1089765069,-0.159,-0.934,-0.131,-14.87,28.702,-27.908,32.72
1089771529,-0.148,-0.951,-0.13,-14.916,26.84,-26.855,32.86
1089785817,-0.192,-0.945,-0.154,-16.473,24.611,-30.153,32.81
1089797934,-0.156,-0.975,-0.183,-17.008,23.099,-30.305,32.77
1089805170,-0.117,-1.021,-0.169,-14.901,25.145,-33.176,32.72
1089819830,-0.102,-1.052,-0.162,-11.832,28.58,-36.794,32.77
1089827953,-0.112,-1.008,-0.14,-10.931,31.466,-38.061,32.72
1089834986,-0.135,-0.995,-0.133,-10.168,35.115,-36.809,32.77
1089847060,-0.126,-1.034,-0.177,-13.893,31.939,-41.374,32.67
1089857396,-0.128,-1.008,-0.179,-15.481,32.031,-40.061,32.77
1089863330,-0.103,-1.018,-0.202,-17.359,29.649,-44.321,32.72
1089874598,-0.083,-1.021,-0.245,-18.809,27.908,-44.336,32.77
1089892037,-0.088,-1.047,-0.226,-20.565,25.649,-47.16,32.72
1089902251,-0.062,-1.038,-0.213,-20.504,26.29,-46.336,32.86
1089905414,-0.07,-1.028,-0.199,-21.878,25.573,-46.931,32.81
1089914712,-0.066,-1.019,-0.201,-23.267,26.214,-48.901,32.77
1089929353,-0.044,-1.032,-0.197,-24.351,27.695,-50.58,32.77
1089935653,-0.032,-0.979,-0.202,-25.573,29.863,-51.267,32.77
1089943700,-0.043,-1.001,-0.201,-28.504,28.229,-54.382,32.81
1089954779,-0.012,-1.037,-0.234,-29.145,27.42,-56.107,32.58
1089965808,0.014,-1.077,-0.281,-27.908,27.542,-56.748,32.72
1089972802,-0.009,-1.077,-0.294,-28.504,25.557,-56.763,32.77
1089987232,0.023,-1.039,-0.3,-30.794,23.115,-55.466,32.72
1089997616,0.016,-1.051,-0.297,-36.061,20.015,-54.794,32.77
1090004759,0.025,-1.083,-0.241,-36.137,19.237,-56.992,32.86
1090015631,0.029,-1.022,-0.23,-36.84,22.183,-59.756,32.77
1090026524,-0.006,-1.021,-0.249,-38.427,23.328,-61.359,32.81
1090036033,0.009,-1.001,-0.267,-39.038,23.237,-63.252,32.77
1090047317,0.081,-1.052,-0.303,-39.603,24.351,-66.733,32.72
1090055318,0.097,-1.092,-0.327,-38.702,26.672,-69.252,32.77
1090065088,0.094,-1.054,-0.345,-39.893,24.382,-66.061,32.62
1090071266,0.079,-1.058,-0.295,-40.901,22.626,-66.611,32.77
1090088974,0.134,-1.092,-0.298,-39.145,24.229,-68.489,32.77
1090100986,0.166,-1.07,-0.27,-35.496,27.008,-71.389,32.77
1090106226,0.152,-1.001,-0.267,-33.725,29.573,-75.069,32.72
1090116812,0.202,-1.023,-0.329,-34.534,29.588,-77.756,32.77
1090127436,0.19,-1.048,-0.321,-32.031,27.344,-76.855,32.72
