t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
794854134,-0.152,-0.96,0.047,-30.794,-3.389,-20.595,31.92
794864344,-0.155,-0.963,0.017,-35.802,-8.076,-19.389,32.01
794877997,-0.121,-0.984,0.061,-36.855,-9.115,-20.336,31.87
794884800,-0.137,-0.978,0.059,-37.023,-11.313,-20.427,31.92
794896826,-0.122,-0.98,0.059,-35.832,-8.656,-23.542,31.97
794906948,-0.128,-0.994,0.044,-34.58,-7.313,-27.191,32.01
794913206,-0.116,-1.01,0.022,-36.061,-8.824,-27.725,31.87
794924361,-0.144,-0.974,0.03,-37.191,-9.13,-27.466,31.82
794943600,-0.115,-0.963,0.073,-37.374,-7.023,-29.603,31.87
794951969,-0.105,-0.98,0.031,-39.511,-7.45,-31.74,31.92
794956555,-0.057,-1.028,-0.037,-41.802,-9.374,-31.45,31.97
794965591,-0.115,-1.016,-0.037,-43.13,-11.237,-33.771,32.01
794978357,-0.135,-1.048,-0.039,-43.45,-14.794,-30.962,31.87
794985740,-0.082,-1.069,-0.035,-45.13,-17.847,-35.664,31.87
794995034,-0.108,-1.073,-0.057,-44.336,-17.985,-34.916,31.92
795007295,-0.068,-1.092,-0.057,-44.656,-17.618,-39.374,31.87
795011579,-0.019,-1.1,-0.055,-42.656,-15.344,-38.061,31.92
795022652,-0.063,-1.072,-0.06,-42.504,-14.046,-40.443,31.87
795034967,-0.027,-1.057,-0.082,-42.458,-14.214,-41.725,31.92
795045979,0.009,-1.073,-0.117,-39.099,-11.557,-43.74,31.87
795054211,0.074,-1.05,-0.274,-38.87,-5.344,-51.16,31.82
795068207,-0.016,-1.032,-0.132,-36.794,-8.427,-48.275,31.97
795076639,-0.021,-0.987,-0.031,-34.046,-8.489,-45.45,31.92
795086860,0.044,-1.001,-0.024,-32.565,-0.763,-47.786,31.87
795099504,0.042,-0.971,-0.018,-29.282,1.359,-50.015,31.92
795106744,0.046,-0.959,-0.047,-29.557,2.244,-48.84,31.92
795115184,0.041,-0.978,-0.115,-29.282,2.84,-49.511,31.87
795121957,0.033,-1.002,-0.103,-28.977,3.466,-50.305,31.82
795138710,0.011,-1.008,-0.1,-27.832,1.023,-50.992,31.87
795147625,0.051,-1.02,-0.072,-24.321,2.534,-52.015,31.92
795154397,0.067,-1.017,-0.118,-22.183,3.695,-53.16,31.97
795166067,0.111,-1.039,-0.103,-21.115,5.832,-54.687,31.92
795173672,0.059,-0.979,-0.1,-19.313,6.962,-51.481,31.87
795186299,0.073,-0.979,-0.062,-17.481,8.305,-53.802,32.01
795196940,0.086,-1.021,-0.093,-16.931,8.489,-56.153,31.92
795205597,0.091,-1.009,-0.148,-17.573,7.023,-54.58,31.92
