t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
292484455,0.224,-1.064,-0.022,-26.122,-9.16,-45.145,32.81
292496095,0.243,-0.964,0.008,-32.855,-7.954,-31.511,32.77
292504705,0.237,-0.999,0.014,-29.756,-9.282,-54.305,32.81
292512253,0.243,-1.04,-0.052,-30.55,-13.542,-47.695,32.77
292524048,0.313,-1.054,-0.041,-28.656,-11.267,-51.115,32.81
292536632,0.23,-1.055,-0.12,-28.656,-13.42,-50.626,32.77
292544138,0.309,-1.038,-0.139,-30.153,-17.435,-47.084,32.81
292555308,0.275,-1.031,-0.03,-28.504,-18.061,-49.45,32.86
292571018,0.346,-1.021,-0.05,-27.557,-15.374,-52.84,32.81
292576127,0.352,-1.063,-0.063,-24.214,-14.107,-53.878,32.77
292586219,0.349,-1.031,-0.093,-23.237,-10.947,-53.649,32.81
292595473,0.327,-1.031,-0.08,-20.473,-9.313,-53.099,32.77
292605290,0.339,-1.0,-0.068,-19.313,-5.542,-53.344,32.81
292611513,0.389,-1.029,-0.07,-17.359,-4.809,-54.656,32.86
292625033,0.368,-1.019,-0.107,-15.374,-1.573,-55.359,32.81
292637393,0.309,-0.994,-0.108,-15.084,-1.435,-52.947,32.86
292643130,0.377,-0.99,-0.101,-14.214,-1.176,-52.855,32.81
292656377,0.365,-0.999,-0.115,-12.87,0.733,-51.221,32.77
292665561,0.373,-1.024,-0.054,-11.221,3.115,-52.947,32.72
292673737,0.377,-0.994,-0.085,-8.626,8.229,-54.763,32.86
292684845,0.386,-1.0,-0.111,-7.13,10.076,-55.618,32.72
292693747,0.358,-1.0,-0.124,-5.099,11.145,-54.397,32.77
292704457,0.364,-0.99,-0.11,-2.595,12.153,-53.863,32.91
292711481,0.371,-0.999,-0.097,-1.206,12.947,-53.328,32.86
292723446,0.333,-0.97,-0.103,-1.145,12.137,-51.893,32.81
292738830,0.387,-0.99,-0.114,-2.84,8.931,-52.595,32.77
292743751,0.39,-0.993,-0.087,-2.565,12.107,-53.008,32.91
292754688,0.438,-1.017,-0.12,-3.267,11.649,-54.794,32.86
292766830,0.39,-1.006,-0.08,-2.611,13.725,-55.832,32.81
292775191,0.374,-0.982,-0.138,-4.122,11.115,-56.947,32.77
292784277,0.43,-0.987,-0.116,-4.992,10.748,-56.443,32.91
292798715,0.451,-0.995,-0.108,-4.489,11.435,-56.687,32.86
292804834,0.449,-0.965,-0.124,-4.702,12.015,-56.275,32.91
292811689,0.48,-0.966,-0.103,-4.519,10.901,-55.557,32.77
292826140,0.52,-0.973,-0.085,-3.344,13.969,-56.748,32.81
292838328,0.499,-0.977,-0.097,-2.656,18.427,-57.557,32.86
292843738,0.497,-0.941,-0.139,-2.687,16.87,-57.466,32.81
292851265,0.52,-0.96,-0.137,-3.817,15.359,-58.26,32.86
292865927,0.459,-0.941,-0.152,-6.718,10.794,-56.122,32.81
292875619,0.57,-0.931,-0.093,-8.137,11.13,-54.916,32.77
292884485,0.616,-0.937,-0.072,-6.55,13.42,-56.427,32.81
292896841,0.59,-0.926,-0.093,-4.947,18.87,-57.13,32.86
292901207,0.518,-0.897,-0.138,-7.176,14.901,-56.519,32.86
292912342,0.552,-0.911,-0.174,-10.092,9.45,-54.794,32.77
292925368,0.585,-0.917,-0.11,-10.214,7.634,-55.679,32.81
292935869,0.591,-0.922,-0.165,-10.641,5.893,-55.847,32.86
292944209,0.59,-0.91,-0.142,-11.924,3.038,-54.015,32.81
292956859,0.646,-0.912,-0.12,-11.847,2.443,-54.427,32.77
292963553,0.628,-0.917,-0.114,-10.656,2.489,-55.298,32.81
292974592,0.659,-0.91,-0.125,-10.153,4.504,-56.351,32.77
292983002,0.614,-0.885,-0.112,-11.176,2.153,-56.763,32.77
292995426,0.636,-0.87,-0.116,-13.649,1.053,-56.107,32.77
293001559,0.651,-0.852,-0.173,-16.443,-3.359,-55.252,32.81
293012211,0.673,-0.887,-0.13,-17.511,-5.038,-54.107,32.77
293024696,0.697,-0.901,-0.109,-17.481,-4.947,-55.496,32.91
293037800,0.701,-0.884,-0.1,-15.985,-3.71,-55.481,32.77
293044800,0.713,-0.874,-0.105,-14.901,-2.076,-58.458,32.81
293057437,0.706,-0.875,-0.113,-14.168,-2.046,-58.565,32.95
293065625,0.698,-0.844,-0.169,-15.344,-4.901,-58.046,32.77
293076172,0.701,-0.839,-0.144,-16.992,-10.55,-56.412,32.86
293088850,0.765,-0.859,-0.133,-17.954,-12.382,-55.557,32.81
293097199,0.751,-0.839,-0.088,-18.092,-11.13,-55.679,32.86
293104615,0.793,-0.815,-0.12,-17.74,-7.649,-57.542,32.81
293111434,0.781,-0.831,-0.13,-16.855,-5.435,-58.58,32.86
293127808,0.744,-0.796,-0.117,-16.534,-5.313,-58.214,32.81
293135228,0.786,-0.816,-0.178,-16.84,-5.786,-59.389,32.86
293144214,0.757,-0.805,-0.15,-15.099,-6.504,-57.71,32.86
293157326,0.806,-0.805,-0.17,-13.847,-6.641,-58.779,32.86
