t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
1338507724,-0.291,-0.933,-0.005,-22.687,4.275,-16.412,32.29
1338517704,-0.39,-0.959,-0.003,-21.008,9.176,-13.817,32.34
1338525107,-0.305,-0.91,0.012,-22.641,4.321,-17.832,32.39
1338541285,-0.262,-0.924,0.01,-23.191,4.733,-19.13,32.44
1338546520,-0.233,-0.956,-0.012,-23.527,3.252,-17.206,32.29
1338557762,-0.279,-0.917,-0.012,-22.809,4.779,-19.939,32.39
1338570872,-0.25,-0.921,-0.002,-22.336,6.046,-21.695,32.44
1338579515,-0.287,-0.91,0.001,-22.153,7.908,-22.977,32.29
1338586101,-0.287,-0.916,-0.008,-22.656,8.443,-24.473,32.44
1338593015,-0.29,-0.931,-0.015,-23.786,9.817,-26.519,32.29
1338606729,-0.295,-0.953,-0.008,-26.504,10.015,-27.649,32.34
1338615630,-0.285,-0.943,-0.01,-29.084,9.924,-29.359,32.39
1338624368,-0.308,-0.909,-0.021,-30.809,11.084,-31.496,32.34
1338635507,-0.282,-0.921,-0.042,-32.885,11.802,-34.122,32.29
1338648042,-0.256,-0.945,-0.047,-33.298,14.412,-36.443,32.34
1338654280,-0.27,-0.946,-0.069,-36.656,15.71,-37.115,32.29
1338669861,-0.271,-0.975,-0.081,-38.901,18.092,-38.26,32.34
1338680355,-0.262,-0.97,-0.096,-41.786,19.954,-39.878,32.29
1338684611,-0.292,-1.022,-0.097,-45.099,19.908,-43.099,32.34
1338696161,-0.276,-1.033,-0.125,-49.832,18.229,-44.26,32.2
1338702936,-0.267,-1.029,-0.171,-53.679,17.344,-46.947,32.34
1338716568,-0.277,-1.03,-0.183,-57.16,16.55,-48.443,32.39
1338726975,-0.266,-1.031,-0.118,-59.237,17.847,-50.458,32.34
1338734447,-0.242,-1.007,-0.166,-60.779,18.015,-53.863,32.39
1338747436,-0.208,-1.064,-0.191,-64.473,17.649,-56.992,32.39
1338755798,-0.161,-1.016,-0.178,-62.962,21.298,-56.504,32.34
1338767688,-0.126,-0.991,-0.188,-60.336,24.702,-56.305,32.39
1338776932,-0.087,-1.045,-0.205,-60.214,26.214,-58.641,32.44
1338786989,-0.069,-1.074,-0.236,-58.092,25.588,-58.275,32.39
1338793932,-0.129,-1.017,-0.21,-54.382,26.504,-59.16,32.34
1338806648,-0.065,-1.016,-0.191,-54.122,27.191,-63.206,32.39
1338817714,0.066,-0.841,-0.172,-60.397,28.137,-83.527,32.25
1338831082,0.109,-1.054,-0.123,-44.382,32.0,-61.496,32.39
1338836323,-0.097,-0.916,-0.18,-40.947,38.718,-66.626,32.34
1338845022,0.002,-0.906,-0.173,-41.237,39.053,-64.229,32.29
1338857133,-0.041,-0.956,-0.21,-40.855,37.267,-67.969,32.34
1338862277,0.011,-1.032,-0.239,-40.122,36.595,-66.244,32.39
1338877188,-0.03,-1.002,-0.21,-35.008,36.565,-65.298,32.34
1338889107,-0.03,-1.028,-0.236,-32.901,37.099,-66.87,32.39
1338893347,-0.026,-1.046,-0.245,-31.573,36.031,-67.496,32.34
1338904289,-0.008,-1.023,-0.235,-25.649,41.053,-68.519,32.29
1338916480,-0.031,-0.996,-0.246,-23.954,42.382,-69.634,32.39
1338925545,-0.021,-0.994,-0.266,-22.962,42.473,-69.008,32.39
1338936222,-0.005,-0.978,-0.244,-23.374,42.0,-69.298,32.34
1338946485,-0.012,-0.985,-0.269,-22.198,41.771,-69.405,32.34
1338956518,-0.005,-0.994,-0.31,-23.023,40.977,-71.344,32.39
1338965963,0.008,-1.015,-0.284,-22.947,38.656,-72.519,32.34
1338973014,0.041,-1.022,-0.268,-20.305,41.069,-73.313,32.39
1338985186,0.016,-1.016,-0.306,-17.954,42.977,-75.679,32.34
1338996790,0.053,-1.042,-0.332,-17.389,41.115,-74.473,32.39
1339002365,0.076,-0.971,-0.32,-20.672,38.855,-74.443,32.34
1339015558,0.086,-1.001,-0.349,-26.84,33.725,-71.573,32.29
1339028024,0.121,-1.016,-0.321,-29.42,32.885,-70.168,32.34
1339033682,0.103,-1.038,-0.324,-30.489,35.573,-70.366,32.39
1339046177,0.131,-1.026,-0.321,-31.328,36.137,-72.153,32.25
1339060566,0.119,-1.004,-0.37,-31.42,37.084,-72.244,32.29
1339067254,0.186,-1.024,-0.341,-28.489,39.664,-75.771,32.34
1339075895,0.179,-1.024,-0.333,-28.443,39.084,-77.221,32.29
1339085193,0.216,-0.988,-0.411,-32.656,35.634,-72.565,32.29
1339095902,0.175,-0.994,-0.376,-40.779,31.664,-74.382,32.29
1339106255,0.258,-1.041,-0.368,-42.351,31.389,-73.634,32.25
1339112894,0.269,-1.045,-0.374,-44.076,31.74,-74.58,32.29
1339129212,0.286,-1.01,-0.376,-41.13,37.16,-75.45,32.34
1339139083,0.272,-1.006,-0.414,-40.229,38.458,-77.45,32.29
1339145444,0.364,-1.009,-0.375,-37.557,42.153,-81.618,32.34
1339156159,0.309,-1.012,-0.397,-36.58,41.282,-81.573,32.39
1339168972,0.306,-0.94,-0.403,-41.649,38.29,-82.153,32.2
1339175539,0.376,-1.001,-0.399,-42.214,37.725,-85.191,32.25
1339186698,0.414,-0.99,-0.386,-38.672,39.756,-86.229,32.29
1339198797,0.405,-0.988,-0.396,-36.992,41.511,-87.191,32.44
1339207542,0.382,-0.998,-0.373,-31.435,43.939,-88.107,32.39
1339212534,0.465,-0.989,-0.392,-24.58,46.901,-95.298,32.34
1339223708,0.404,-0.977,-0.367,-19.771,51.16,-94.702,32.48
1339236192,0.41,-0.909,-0.411,-20.611,49.099,-96.672,32.34
1339246939,0.41,-0.909,-0.447,-25.206,43.603,-93.954,32.39
1339255587,0.45,-0.896,-0.407,-28.198,39.053,-92.321,32.34
