t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
39465368,0.163,-1.052,-0.031,-23.313,9.802,-37.924,30.79
39473153,0.156,-1.036,-0.049,-23.863,9.053,-38.84,30.74
39485197,0.213,-1.038,-0.032,-24.885,7.878,-39.374,30.79
39495885,0.212,-1.028,-0.038,-25.786,10.443,-39.252,30.79
39501879,0.229,-1.037,-0.051,-25.359,12.0,-40.84,30.84
39514943,0.249,-1.06,-0.081,-26.748,12.382,-40.855,30.88
39526898,0.245,-1.024,-0.033,-28.168,11.588,-40.244,30.84
39535082,0.274,-1.048,-0.056,-30.122,11.374,-42.0,30.79
39543660,0.223,-1.004,-0.036,-31.74,9.847,-40.397,30.74
39557066,0.229,-1.003,-0.061,-32.382,9.389,-42.458,30.88
39566291,0.282,-0.992,-0.061,-33.771,8.687,-44.046,30.79
39573093,0.261,-1.016,-0.088,-34.015,8.061,-45.618,30.84
39585350,0.305,-1.018,-0.072,-35.206,6.702,-45.817,30.88
39594921,0.29,-0.997,-0.121,-36.672,5.328,-44.84,30.84
39603096,0.329,-1.024,-0.119,-37.71,3.832,-45.084,30.69
39610135,0.327,-1.029,-0.087,-37.588,4.626,-44.824,30.74
39626955,0.341,-1.005,-0.1,-38.641,4.092,-44.901,30.84
39635172,0.283,-0.985,-0.091,-40.427,0.779,-44.656,30.79
39642970,0.338,-0.996,-0.095,-42.366,-2.351,-45.405,30.84
39657337,0.362,-1.006,-0.107,-40.916,0.107,-48.107,30.79
39662482,0.327,-0.995,-0.172,-42.076,-5.45,-47.282,30.74
39677423,0.364,-1.009,-0.167,-42.183,-9.099,-45.695,30.79
39685319,0.366,-1.004,-0.152,-41.817,-11.282,-44.366,30.79
39692891,0.399,-1.002,-0.097,-42.382,-10.092,-44.198,30.74
39703404,0.403,-0.998,-0.126,-43.511,-7.832,-45.847,30.69
39711314,0.388,-0.994,-0.138,-44.992,-7.252,-44.733,30.84
39724784,0.4,-1.01,-0.191,-45.115,-7.695,-47.511,30.79
39735011,0.376,-1.001,-0.164,-45.496,-10.885,-47.008,30.84
39744796,0.413,-1.022,-0.209,-45.42,-12.885,-49.221,30.84
39754342,0.412,-1.016,-0.2,-44.718,-13.786,-49.71,30.88
39763477,0.423,-0.997,-0.222,-44.534,-14.931,-49.939,30.74
39773609,0.428,-0.991,-0.219,-45.313,-18.702,-49.023,30.79
39785438,0.457,-1.0,-0.191,-45.359,-18.427,-50.565,30.79
39791294,0.471,-0.999,-0.188,-46.382,-18.504,-52.092,30.88
39803159,0.456,-0.976,-0.192,-46.824,-18.336,-53.527,30.69
39819129,0.472,-0.967,-0.195,-47.13,-16.779,-54.321,30.84
39827771,0.544,-0.965,-0.197,-45.405,-14.534,-57.496,30.88
39834232,0.547,-0.999,-0.233,-45.115,-12.84,-50.641,30.74
39846764,0.41,-0.986,-0.262,-44.641,-14.824,-53.359,30.79
39855022,0.531,-0.969,-0.269,-43.511,-14.534,-54.031,30.74
39861942,0.524,-0.983,-0.273,-44.565,-17.618,-52.458,30.74
39876468,0.535,-0.948,-0.202,-43.191,-13.359,-52.931,30.69
39885521,0.526,-0.947,-0.252,-44.87,-12.275,-55.023,30.84
39890522,0.538,-0.953,-0.275,-45.267,-11.344,-55.374,30.88
39903872,0.489,-0.928,-0.258,-45.557,-11.786,-54.779,30.74
39917857,0.568,-0.96,-0.295,-43.588,-10.0,-56.672,30.79
39924856,0.542,-0.93,-0.285,-41.847,-8.824,-56.931,30.79
39934100,0.523,-0.94,-0.283,-40.55,-9.267,-56.214,30.84
39948381,0.542,-0.944,-0.311,-40.0,-9.679,-56.275,30.79
39954321,0.538,-0.898,-0.319,-40.168,-12.763,-54.885,30.74
39964749,0.576,-0.923,-0.293,-39.71,-10.779,-56.153,30.79
39974542,0.572,-0.926,-0.285,-39.344,-6.931,-55.16,30.88
39984737,0.566,-0.914,-0.313,-40.244,-5.542,-56.061,30.74
39990574,0.583,-0.9,-0.29,-40.397,-3.527,-56.183,30.88
40004099,0.552,-0.898,-0.356,-40.107,-3.847,-56.229,30.84
40017616,0.572,-0.891,-0.343,-39.878,-5.42,-55.969,30.79
40024790,0.61,-0.911,-0.344,-38.366,-1.985,-57.466,30.84
40035409,0.607,-0.885,-0.341,-38.58,-0.595,-58.168,30.88
40048060,0.626,-0.9,-0.394,-39.802,1.145,-59.145,30.84
40053131,0.588,-0.867,-0.363,-41.206,0.382,-57.344,30.74
40067263,0.631,-0.85,-0.356,-42.0,1.557,-57.603,30.79
40075204,0.629,-0.857,-0.388,-41.313,5.13,-59.664,30.74
40085013,0.609,-0.855,-0.38,-40.962,5.374,-59.221,30.88
40091365,0.661,-0.866,-0.412,-39.557,5.649,-60.611,30.84
40107860,0.601,-0.812,-0.416,-39.313,2.183,-57.893,30.69
40117470,0.667,-0.802,-0.391,-40.061,0.626,-57.496,30.79
40125412,0.696,-0.805,-0.386,-39.939,3.038,-58.947,30.74
40133189,0.707,-0.793,-0.393,-39.985,5.679,-58.672,30.79
40146976,0.69,-0.786,-0.413,-40.183,8.275,-58.626,30.84
40155342,0.686,-0.78,-0.403,-41.374,7.924,-57.435,30.88
40162739,0.729,-0.781,-0.416,-40.58,10.916,-58.198,30.79
40174511,0.702,-0.761,-0.406,-38.992,13.069,-58.076,30.79
40185669,0.737,-0.757,-0.418,-37.115,16.183,-59.969,30.88
40192180,0.696,-0.743,-0.467,-35.939,15.237,-59.496,30.93
40204479,0.717,-0.728,-0.459,-35.466,12.565,-58.122,30.69
40217750,0.733,-0.716,-0.448,-35.527,11.023,-57.832,30.84
40226471,0.746,-0.695,-0.399,-35.924,12.0,-58.092,30.79
40233325,0.77,-0.691,-0.424,-35.924,14.427,-58.718,30.74
40246136,0.77,-0.712,-0.439,-35.45,16.183,-58.366,30.74
40254889,0.774,-0.702,-0.447,-35.557,16.382,-57.344,30.79
40266142,0.796,-0.697,-0.482,-35.282,15.618,-56.58,30.84
40277181,0.76,-0.665,-0.448,-34.122,14.977,-55.466,30.79
40284768,0.796,-0.664,-0.488,-34.748,14.641,-58.702,30.84
40292479,0.811,-0.64,-0.432,-34.076,15.588,-57.893,30.79
40304645,0.832,-0.644,-0.487,-34.0,17.786,-59.924,30.74
40318442,0.835,-0.663,-0.498,-33.649,17.725,-59.145,30.93
40325377,0.824,-0.627,-0.479,-33.405,17.359,-58.031,30.69
40333089,0.865,-0.64,-0.482,-32.901,18.061,-59.786,30.84
40345563,0.858,-0.612,-0.476,-31.817,20.137,-60.092,30.88
40352535,0.834,-0.587,-0.488,-32.626,17.573,-60.641,30.79
40364672,0.89,-0.586,-0.466,-33.191,17.252,-61.435,30.88
40375656,0.888,-0.569,-0.485,-34.015,19.817,-62.611,30.74
40383641,0.896,-0.56,-0.479,-35.298,19.573,-62.397,30.65
40393149,0.898,-0.572,-0.477,-34.061,22.763,-62.794,30.79
40399792,0.885,-0.549,-0.49,-33.817,21.221,-61.099,30.74
40417501,0.878,-0.548,-0.511,-34.489,16.0,-60.122,30.79
40424491,0.944,-0.526,-0.482,-33.756,17.511,-60.641,30.93
40432050,0.897,-0.508,-0.515,-34.168,14.275,-60.412,30.79
40447166,0.937,-0.501,-0.451,-35.038,15.145,-61.817,30.88
40451553,0.924,-0.494,-0.511,-34.931,17.542,-63.252,30.74
40464858,0.932,-0.492,-0.482,-36.229,15.634,-61.802,30.79
40475577,0.993,-0.463,-0.465,-36.763,16.885,-62.26,30.93
40483452,0.935,-0.458,-0.488,-36.87,17.45,-63.038,30.79
40493118,0.926,-0.434,-0.479,-36.977,15.603,-62.397,30.84
40499956,0.932,-0.427,-0.528,-37.466,13.13,-63.344,30.84
40516580,0.965,-0.44,-0.515,-37.863,8.672,-62.55,30.79
