t_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,temp_c
506924031,-0.042,-1.032,-0.013,-41.313,-10.183,-43.069,31.4
506934480,-0.146,-1.002,0.023,-42.977,-13.16,-44.046,31.35
506941117,-0.085,-1.015,-0.001,-45.176,-12.87,-45.191,31.31
506960104,-0.063,-1.005,0.084,-45.863,-10.275,-46.687,31.45
506965854,-0.116,-0.964,0.054,-49.115,-9.924,-44.55,31.4
506975924,-0.045,-1.011,-0.024,-53.053,-9.13,-45.954,31.45
506986568,-0.021,-1.038,-0.03,-54.137,-10.183,-46.977,31.35
506994771,-0.037,-1.025,-0.031,-56.198,-12.458,-46.84,31.35
507007600,-0.067,-1.014,-0.022,-56.214,-14.916,-45.695,31.26
507021755,0.01,-1.031,-0.035,-55.191,-15.679,-52.092,31.4
507026483,-0.002,-0.983,-0.079,-55.954,-16.229,-53.099,31.35
507032660,-0.016,-1.026,-0.062,-54.687,-18.046,-50.824,31.4
507044957,0.079,-1.049,0.019,-53.053,-12.702,-54.611,31.45
507061553,0.046,-1.043,-0.062,-52.382,-11.282,-53.038,31.49
507066771,0.078,-1.073,-0.023,-50.733,-4.794,-55.954,31.35
507073695,-0.028,-1.087,-0.026,-50.137,-9.908,-43.42,31.26
507088708,0.233,-1.094,-0.021,-43.74,2.305,-66.748,31.4
507096708,0.022,-1.012,-0.073,-43.466,-0.305,-60.504,31.35
507103548,0.166,-1.053,-0.093,-38.29,2.519,-59.847,31.31
507116244,0.071,-1.017,-0.046,-36.794,2.534,-63.115,31.45
507126071,0.077,-1.095,-0.031,-34.565,1.42,-64.626,31.49
507132571,0.159,-1.04,-0.081,-31.053,3.832,-62.87,31.45
507144460,0.114,-0.964,-0.063,-30.809,5.725,-62.901,31.4
507154382,0.158,-1.169,-0.079,-24.947,8.443,-43.45,31.35
507167595,0.233,-1.083,-0.028,-16.427,16.198,-68.947,31.35
507176095,0.127,-1.045,-0.052,-16.84,17.13,-68.107,31.31
507187696,0.181,-1.092,-0.055,-12.779,22.351,-68.061,31.35
507197893,0.216,-1.108,-0.059,-11.206,21.695,-72.672,31.31
507203898,0.153,-1.055,-0.124,-9.313,23.389,-71.786,31.45
507214202,0.124,-1.059,-0.103,-9.481,22.672,-69.832,31.4
507222076,0.143,-1.038,-0.082,-8.244,23.71,-70.901,31.35
507233295,0.227,-1.034,-0.088,-5.985,25.328,-73.344,31.31
507244641,0.2,-1.029,-0.09,-4.595,27.13,-74.061,31.45
507258395,0.23,-1.017,-0.103,-2.519,30.641,-74.595,31.45
507264030,0.209,-1.009,-0.114,-3.466,28.962,-76.397,31.4
507273745,0.243,-1.021,-0.11,-3.649,28.489,-74.626,31.35
507287848,0.282,-1.074,-0.124,-2.412,31.374,-76.702,31.4
507296878,0.325,-1.082,-0.09,0.824,29.618,-77.542,31.45
507303368,0.226,-1.016,-0.141,0.305,32.672,-77.282,31.4
507317702,0.259,-1.016,-0.165,-2.87,27.405,-75.893,31.35
507327278,0.31,-1.057,-0.167,-2.107,25.344,-78.427,31.4
507333097,0.316,-1.035,-0.113,-3.374,26.366,-75.939,31.4
507346630,0.332,-1.017,-0.119,-2.519,21.908,-74.534,31.35
507353904,0.342,-1.015,-0.131,-5.557,25.71,-78.611,31.4
507364384,0.294,-0.971,-0.142,-11.084,20.611,-73.099,31.35
507374021,0.414,-1.029,-0.13,-11.496,21.053,-77.71,31.4
507392912,0.361,-0.978,-0.122,-13.878,17.924,-74.183,31.45
507398356,0.388,-1.012,-0.131,-15.542,16.718,-72.656,31.4
507403992,0.42,-0.982,-0.125,-14.244,15.985,-71.176,31.26
507414543,0.259,-0.932,-0.141,-17.771,8.198,-64.137,31.4
507426084,0.41,-0.989,-0.141,-21.511,7.237,-70.702,31.4
507433206,0.427,-0.976,-0.12,-22.901,4.931,-69.221,31.35
507444992,0.4,-0.958,-0.103,-24.397,4.58,-69.527,31.4
507455116,0.508,-0.978,-0.107,-22.443,5.527,-70.046,31.45
507466262,0.477,-0.975,-0.165,-24.427,5.771,-70.336,31.49
507471030,0.464,-0.962,-0.141,-25.466,2.931,-67.679,31.45
507487611,0.497,-0.96,-0.152,-24.992,1.252,-68.275,31.4
507496724,0.484,-0.95,-0.157,-26.015,-1.481,-67.634,31.45
507504194,0.55,-0.962,-0.175,-26.351,-2.015,-66.947,31.4
507518616,0.555,-0.938,-0.113,-25.023,0.198,-68.351,31.4
507528607,0.48,-0.928,-0.129,-25.389,-1.634,-65.374,31.45
507533360,0.552,-0.94,-0.124,-25.053,2.702,-68.931,31.4
507545025,0.543,-0.918,-0.157,-28.0,3.573,-69.542,31.45
507552001,0.589,-0.916,-0.162,-29.664,0.397,-68.198,31.4
507565790,0.547,-0.933,-0.15,-29.405,-0.763,-66.763,31.45
507573868,0.614,-0.934,-0.145,-27.145,1.786,-69.069,31.31
507585235,0.637,-0.935,-0.134,-22.366,5.588,-73.832,31.45
507597341,0.612,-0.948,-0.164,-20.901,7.328,-73.817,31.35
507602802,0.644,-0.932,-0.161,-20.092,8.351,-75.664,31.49
507615193,0.586,-0.846,-0.2,-24.916,4.137,-73.985,31.45
507625798,0.739,-0.934,-0.176,-27.252,-0.275,-73.313,31.4
507634062,0.655,-0.878,-0.146,-24.427,2.382,-73.053,31.35
507645231,0.702,-0.876,-0.115,-20.443,4.611,-72.916,31.4
507652295,0.703,-0.888,-0.195,-23.191,8.107,-72.58,31.45
507665206,0.676,-0.88,-0.216,-26.092,5.496,-73.527,31.4
507674998,0.676,-0.844,-0.181,-26.611,8.275,-72.061,31.45
507687621,0.724,-0.906,-0.189,-23.786,9.206,-72.87,31.35
507698597,0.688,-0.86,-0.182,-19.145,11.466,-73.237,31.4
507704022,0.682,-0.828,-0.202,-17.969,11.313,-71.45,31.35
507715033,0.737,-0.824,-0.206,-17.313,12.87,-73.786,31.4
507726039,0.655,-0.765,-0.248,-23.466,10.443,-71.588,31.45
507734053,0.752,-0.762,-0.24,-27.298,6.702,-70.748,31.49
507745294,0.774,-0.828,-0.187,-26.275,7.695,-72.321,31.45
507752384,0.796,-0.822,-0.18,-19.908,10.611,-72.412,31.4
507766918,0.758,-0.807,-0.174,-15.664,14.702,-73.13,31.45
507774736,0.763,-0.786,-0.227,-14.397,15.695,-73.115,31.4
507787619,0.768,-0.759,-0.222,-12.58,14.366,-72.565,31.49
507799493,0.762,-0.723,-0.27,-17.863,11.847,-73.115,31.35
507804976,0.793,-0.721,-0.254,-21.786,9.496,-70.748,31.4
507815201,0.874,-0.781,-0.222,-19.863,12.229,-71.863,31.45
507825662,0.826,-0.736,-0.213,-17.282,14.855,-71.466,31.4
507835730,0.868,-0.708,-0.207,-14.656,17.588,-71.817,31.35
507844769,0.901,-0.709,-0.215,-12.916,24.641,-73.084,31.4
507851580,0.809,-0.663,-0.204,-12.656,22.489,-72.168,31.35
507868438,0.812,-0.586,-0.233,-16.702,19.618,-71.817,31.31
507875032,0.884,-0.622,-0.197,-19.221,16.763,-70.916,31.4
507885431,0.938,-0.652,-0.154,-16.626,20.733,-70.626,31.45
507897050,0.877,-0.591,-0.203,-15.771,19.374,-71.878,31.4
507903400,0.935,-0.633,-0.149,-13.878,21.099,-69.374,31.35
507917039,0.917,-0.587,-0.171,-12.092,23.008,-70.947,31.31
507926848,0.864,-0.541,-0.244,-17.756,19.115,-66.977,31.45
507938446,0.922,-0.544,-0.155,-19.679,17.252,-65.145,31.4
507944181,0.927,-0.548,-0.235,-21.313,16.931,-63.527,31.45
507950979,0.919,-0.55,-0.158,-18.366,16.122,-60.351,31.4
507965537,0.986,-0.591,-0.189,-13.847,19.298,-60.427,31.35
507976592,0.918,-0.575,-0.189,-8.382,19.298,-59.679,31.45
507982420,0.909,-0.514,-0.255,-10.0,16.58,-59.786,31.4
507998472,0.926,-0.534,-0.239,-9.466,14.718,-56.244,31.45
508007726,0.906,-0.488,-0.243,-14.397,9.237,-56.702,31.4
508014764,0.919,-0.488,-0.244,-20.153,4.183,-53.435,31.45
508022436,1.005,-0.534,-0.221,-21.481,3.389,-52.565,31.4
508036421,1.003,-0.538,-0.182,-18.015,5.847,-53.069,31.35
508044486,0.997,-0.516,-0.226,-18.58,7.069,-52.611,31.4
508051252,0.983,-0.517,-0.188,-18.504,7.466,-53.038,31.45
508064715,1.031,-0.513,-0.244,-18.733,8.641,-54.168,31.45
508074796,0.962,-0.496,-0.204,-19.267,6.443,-53.008,31.49
508083185,0.999,-0.451,-0.241,-21.282,1.069,-53.221,31.35
508099469,1.061,-0.476,-0.245,-22.87,-1.802,-53.45,31.31
508105031,1.072,-0.454,-0.197,-21.328,-1.115,-54.977,31.45
508114050,1.094,-0.451,-0.179,-17.847,-0.366,-53.649,31.31
508127136,1.158,-0.469,-0.184,-18.763,7.435,-60.183,31.45
508137286,1.098,-0.425,-0.204,-18.351,8.366,-60.855,31.31
508145183,1.076,-0.44,-0.23,-20.473,10.031,-61.588,31.45
508151300,1.062,-0.415,-0.25,-23.405,8.229,-61.908,31.45
508169022,1.069,-0.412,-0.259,-28.061,4.366,-61.16,31.4
508178180,1.107,-0.445,-0.23,-27.252,4.687,-62.595,31.45
508182947,1.134,-0.42,-0.202,-22.397,6.947,-64.321,31.4
508194950,1.141,-0.38,-0.157,-17.832,12.092,-68.809,31.45
508206059,1.135,-0.347,-0.249,-16.794,12.305,-70.748,31.31
508214278,1.107,-0.327,-0.249,-18.122,13.847,-73.603,31.35
508223783,1.112,-0.288,-0.318,-22.153,10.733,-74.702,31.4
508238776,1.119,-0.3,-0.27,-26.626,7.252,-75.802,31.26
508245185,1.193,-0.345,-0.277,-26.656,9.756,-80.046,31.45
508251236,1.185,-0.381,-0.233,-20.947,11.45,-82.427,31.49
508263497,1.172,-0.327,-0.238,-21.176,14.58,-83.145,31.35
508277452,1.186,-0.327,-0.232,-19.466,16.504,-87.13,31.4
508285714,1.172,-0.315,-0.271,-20.412,17.603,-89.878,31.26
508294718,1.105,-0.228,-0.287,-25.588,15.786,-90.29,31.4
508304206,1.105,-0.199,-0.293,-33.664,9.756,-91.969,31.45
508318414,1.091,-0.186,-0.234,-36.244,9.863,-88.015,31.4
508325472,1.18,-0.265,-0.231,-37.298,9.969,-95.221,31.35
508336787,1.152,-0.23,-0.211,-33.634,11.557,-98.458,31.35
508347368,1.156,-0.23,-0.23,-33.374,11.511,-97.053,31.4
508351571,1.176,-0.198,-0.24,-31.542,11.649,-97.817,31.35
508363034,1.164,-0.154,-0.305,-36.565,7.573,-101.282,31.31
508375030,1.104,-0.109,-0.287,-42.305,2.855,-102.794,31.35
508384059,1.134,-0.092,-0.252,-47.115,-1.45,-103.695,31.4
508393805,1.167,-0.095,-0.295,-52.947,-4.733,-104.458,31.35
508405059,1.229,-0.146,-0.175,-50.046,0.992,-108.168,31.4
508420649,1.191,-0.109,-0.191,-47.435,9.252,-111.878,31.35
508425348,1.135,-0.113,-0.206,-48.153,10.046,-113.878,31.45
508437928,1.111,-0.061,-0.224,-51.481,9.313,-114.947,31.4
508445715,1.035,0.048,-0.219,-58.443,4.718,-114.427,31.45
508453932,1.11,-0.101,-0.192,-59.832,4.443,-115.191,31.4
508462242,0.949,-0.079,-0.339,-50.504,-7.237,-118.275,31.35
508477763,1.017,0.054,-0.155,-60.305,-2.229,-95.527,31.4
508487915,1.096,0.055,-0.181,-56.763,-5.817,-110.519,31.45
508493971,1.051,0.043,-0.147,-52.092,-6.916,-104.046,31.4
508499959,1.021,0.113,-0.169,-52.641,0.275,-102.305,31.35
508519330,0.968,0.121,-0.185,-55.267,0.565,-100.962,31.35
508524615,0.956,0.178,-0.209,-63.374,-1.298,-98.962,31.4
508535428,0.927,0.233,-0.252,-73.023,-7.053,-88.183,31.45
508543867,1.062,0.113,-0.102,-74.947,-4.962,-84.916,31.4
508554462,1.069,0.047,-0.096,-63.115,10.794,-87.481,31.35
508562495,0.876,0.167,-0.064,-50.718,10.901,-80.137,31.4
508574433,1.009,0.329,-0.18,-54.626,17.084,-87.13,31.35
508587993,0.909,0.318,-0.23,-55.634,9.496,-77.389,31.49
508597687,0.823,0.402,-0.176,-65.481,-2.718,-72.824,31.45
508603884,0.966,0.344,-0.124,-67.863,-5.954,-68.489,31.35
508616609,0.925,0.385,-0.104,-66.198,-9.618,-62.748,31.31
508624602,0.995,0.3,-0.059,-62.092,-8.443,-58.901,31.35
508634911,1.016,0.393,-0.028,-55.328,-1.527,-57.053,31.4
508644634,0.986,0.421,-0.118,-52.55,1.176,-52.779,31.45
508655004,0.918,0.465,-0.201,-53.878,-3.771,-46.611,31.49
508662708,0.821,0.519,-0.244,-59.45,-15.542,-39.16,31.35
508674894,1.077,0.408,-0.051,-64.84,-12.076,-38.183,31.4
508686691,1.15,0.301,0.07,-54.611,2.733,-36.351,31.45
508694899,0.94,0.347,-0.018,-44.031,7.145,-30.901,31.35
508703981,0.949,0.35,-0.001,-37.649,7.634,-25.359,31.31
508717157,0.947,0.365,-0.022,-30.672,10.427,-19.389,31.45
508725539,0.875,0.477,-0.027,-27.008,8.046,-12.84,31.4
508735875,0.871,0.5,-0.034,-22.168,-0.336,-6.87,31.35
508745647,0.915,0.511,0.058,-14.702,-5.863,0.916,31.4
508753936,0.927,0.501,0.062,-8.046,-7.42,3.634,31.35
508764441,0.948,0.499,0.032,-1.038,-7.13,8.87,31.4
508771794,0.978,0.467,0.045,7.13,-3.053,12.031,31.45
508787641,0.967,0.441,0.024,14.641,1.176,17.221,31.35
508798431,0.949,0.457,-0.039,21.267,4.244,19.802,31.4
508804656,0.924,0.423,-0.066,26.824,3.008,24.947,31.35
508816264,0.884,0.431,-0.077,32.565,-2.29,30.611,31.4
508825248,0.916,0.392,-0.062,41.42,-10.382,36.534,31.35
508835987,0.964,0.408,-0.06,47.634,-10.382,40.702,31.31
508846622,1.052,0.381,-0.035,53.038,-3.42,41.664,31.45
508855029,1.039,0.394,-0.079,58.962,2.458,43.099,31.4
508861651,1.034,0.399,-0.113,59.588,10.183,44.031,31.4
508875477,0.961,0.414,-0.165,58.427,9.435,44.656,31.35
508888484,0.969,0.396,-0.159,53.023,6.168,45.603,31.4
508895967,1.026,0.377,-0.103,51.389,6.992,46.198,31.45
508901153,1.017,0.283,-0.148,55.832,7.725,45.908,31.4
508918326,1.042,0.332,-0.12,61.328,7.252,48.092,31.35
508925801,1.063,0.285,-0.103,68.733,6.55,47.802,31.4
508938313,1.069,0.343,-0.124,64.412,10.565,46.519,31.45
508949512,1.019,0.317,-0.176,62.153,9.099,47.115,31.45
508957664,1.032,0.308,-0.156,57.389,5.786,48.916,31.4
508964186,1.067,0.254,-0.115,56.641,5.802,50.794,31.35
508971612,1.111,0.219,-0.103,62.916,9.13,51.557,31.4
508988965,1.094,0.189,-0.078,70.26,11.863,51.145,31.45
508996384,1.118,0.18,-0.112,75.145,18.992,52.947,31.31
509004315,1.088,0.178,-0.071,79.099,20.229,56.855,31.35
509017904,1.11,0.196,-0.122,78.412,24.29,57.924,31.4
509027008,1.044,0.177,-0.158,77.328,25.832,56.534,31.4
509037822,1.071,0.198,-0.126,76.26,23.282,56.397,31.45
509047258,1.051,0.195,-0.181,73.511,21.252,62.656,31.4
509054657,1.094,0.137,-0.099,76.229,23.023,63.099,31.45
509062091,1.083,0.154,-0.1,84.595,25.466,64.122,31.4
509073576,1.086,0.138,-0.134,84.183,26.855,62.931,31.35
509086082,1.069,0.088,-0.134,83.847,29.069,68.611,31.4
509097017,1.045,0.088,-0.164,84.916,31.237,69.466,31.35
509105508,1.029,0.141,-0.22,77.099,28.809,73.16,31.35
509113027,1.085,0.002,-0.153,76.351,29.832,74.473,31.4
509124899,1.11,-0.059,-0.125,83.695,35.588,76.611,31.45
509133419,1.078,0.003,-0.117,92.458,40.0,80.489,31.4
